step,reward,length,distance,mean_vx,mean_abs_yaw_error_deg,fall_rate
50000,176.357389194183,148.2,-0.00019827429193085,0.007022377468156878,1.5954010445609046,1.0
100000,106.11771267684017,94.0,0.01960791283312953,0.02976933475228167,1.0793960634989421,1.0
50000,2135.5811729935385,1200.0,1.1297145000934599,0.048258255153270334,8.09856277668057,0.0
100000,3481.6438717998,1200.0,1.5690732880124896,0.06848590973583667,11.122248050203284,0.0
150000,5818.5036413328235,1200.0,1.4946972195438308,0.062234385166024773,1.0044011185992832,0.0
200000,5143.159425107495,1200.0,1.5180992850115356,0.06345479301894223,2.032756622378202,0.0
250000,5975.642477458901,1200.0,1.4881574898718966,0.0619906296946159,2.050142514483846,0.0
300000,5372.177940099829,1200.0,1.8074808354125167,0.07516791604311039,1.9202903710728993,0.0
350000,2624.933481166006,1200.0,1.626127199506465,0.06778182674673941,4.886173406897138,0.0
350000,2913.0628570642643,1200.0,0.5373959041309666,0.04146055845662931,0.012737464114083715,2.9043717667274445,0.0
350000,2913.0628570642643,1200.0,0.5373959041309666,0.04146055845662931,0.012737464114083715,2.9043717667274445,0.0
400000,4409.686164437869,1200.0,1.0132427653903722,0.0331550798237653,0.0315193699584261,3.181503354107658,0.0
450000,5259.363659840488,1200.0,1.2390515632068417,0.039850773862469255,0.0419335542364984,2.5166920531382786,0.0
500000,5381.363071181923,1200.0,1.1461044125683066,0.026304661478101406,0.03696126519173136,2.9770604481137513,0.0
