step,reward,length,distance,mean_vx,mean_vy,mean_abs_yaw_error_deg,mean_abs_pitch_error_deg,fall_rate
50000,1552.5555225445896,1200.0,-0.026805614949199825,0.0008168269071045207,0.016835477052646642,6.538400711616511,1.9059749203994865,0.0
100000,2292.2680596799146,1200.0,0.3985628094392478,0.0032738218352751426,0.011831952889039262,3.901413611801979,2.0152897231582876,0.0
150000,3579.1839499298535,1200.0,0.38390821148248644,0.0014822690794603973,0.027472177170840856,3.636331240612216,0.9630685543535351,0.0
200000,3925.769124243953,1200.0,0.6288985180794675,-0.00036422374643316766,0.0359998994564915,3.96405794024594,0.8134246897681303,0.0
250000,4413.983422373565,1200.0,0.6345275100851396,0.004921091533872027,0.030935458173624707,2.900469321582592,1.1257603473132693,0.0
300000,3944.0191744619674,1200.0,1.091695669558072,-0.002692975193385086,0.04378268616920446,3.454515934498231,1.1868777994821664,0.0
350000,5320.510543993228,1200.0,0.9676451198692455,0.011056876975269792,0.02880343779624258,1.9169873536396924,0.945025408652338,0.0
400000,5588.76324288553,1200.0,0.8704262168891083,-0.005136348330692776,0.02821957032335145,1.9541708375519218,1.0879004787392421,0.0
450000,6143.948292661907,1200.0,0.8974327652407806,0.001422834885838249,0.0254745642088511,1.3137091993803705,0.8944857907013034,0.0
500000,6059.038064158617,1200.0,0.8155514197927012,0.0025578632832144906,0.025141473494085465,1.7844133195948015,0.7233083053219354,0.0
550000,6418.968136928485,1200.0,0.874999417769487,0.003866623691288733,0.03248287098527393,2.019244275420133,0.6433161046928888,0.0
600000,6323.194051068361,1200.0,0.9319604434133154,0.006717615499112364,0.034899414400767326,1.6464194144178113,0.8249637482092471,0.0
650000,6250.710200375489,1200.0,0.8812813081305126,-7.510973043578506e-06,0.029935185895325893,2.4772142145642286,0.9705822660007561,0.0
700000,6610.922346900324,1200.0,0.8920222051408588,0.00032423732058004667,0.03020765774557709,1.2380651868435772,0.6765282268745834,0.0
750000,6242.72379354269,1200.0,0.8758903272846368,0.0032873317013528648,0.0300723999091266,1.7181863770465888,0.8491890994894371,0.0
800000,5780.568286696121,1200.0,1.0669841276383005,0.0020725446613477872,0.03298129047545828,1.4798197008683303,0.715218574081607,0.0
850000,5547.149952001715,1200.0,1.0579706875026353,-0.005759098250451194,0.05288614429373797,1.4203813202553477,1.123280237500001,0.0
850000,3830.7501013008086,1200.0,0.7674446013649447,-0.0004913013044192793,0.029734183458253644,3.047322610220244,1.0851599405348324,0.0
900000,4235.21018885292,1200.0,0.9858863017343268,-0.00018490119266862114,0.04416040712218735,4.0377900456540035,1.1389884247629332,0.0
950000,4471.273973994723,1200.0,0.89769138660144,-0.005761456259909791,0.035366347936503575,3.4482461270430607,1.3610756913290643,0.0
1000000,5188.6058398118175,1200.0,1.1542274493370208,0.001076470941420289,0.03479888124337447,2.5210569692828266,1.054683348813736,0.0
1050000,6199.648375971301,1200.0,1.2887198413509349,0.0035434796492935573,0.04570317478076037,1.1225070560301889,0.9191566068982852,0.0
1100000,6680.3185517643315,1200.0,1.2960702612146608,0.0037280950899283875,0.044025134020614,1.1769993594120673,0.618162363207522,0.0
1150000,6409.096922944977,1200.0,1.2480070548829452,0.004207733291820355,0.04044505217800755,1.5949163498537025,1.0604417268860358,0.0
1200000,6744.743274258253,1200.0,1.2893773188685294,0.0050698758295092666,0.042140108355577736,1.2474167833563738,0.8941235174209254,0.0
1250000,6725.763549127946,1200.0,1.299441473254173,0.0025168050559549807,0.045196557663057434,1.0885106371790443,0.7495591501747109,0.0
1300000,6733.189220369767,1200.0,1.2404658922640273,0.0028792538599268155,0.04609469978770686,0.7747495911427097,0.9032925146012728,0.0
1350000,6945.518187335212,1200.0,1.2670217013543377,0.0044626781881995856,0.04449752468811152,0.8345231210199853,0.6849397085154683,0.0
1400000,6707.688378934674,1200.0,1.6551562831622353,0.008267016390022237,0.05208586804207939,1.0701340726301427,0.738329276081932,0.0
1450000,6397.003607164746,1200.0,1.655773829529997,0.005767127279233906,0.059222346208691136,0.9548129041950097,0.9204399570061618,0.0
1500000,6237.216411653004,1200.0,1.6231776289508317,0.0006676271728733349,0.058019754984880635,1.7215180108001327,0.6647633438892455,0.0
1550000,6078.522464161314,1200.0,1.4836975167011015,0.022976878688106092,0.04974448648254581,1.6093896912689587,0.5664589291167297,0.0
1600000,6739.403842331727,1200.0,1.6927454732489,0.010173120080951857,0.05973024323945168,1.3615525759764644,0.7240373804346988,0.0
1650000,6719.790593193868,1200.0,1.7082656587036102,0.007769081803631432,0.05870910983521417,1.6073647970103604,0.5885643796252654,0.0
1700000,6686.504720064984,1200.0,1.6919708585785227,0.0071996234664050114,0.05657954441328069,2.2265314145661783,0.6406457894281443,0.0
1750000,6947.114409264368,1200.0,1.6796323892890548,0.010763361417051476,0.0567363158440666,1.0669639795284311,0.7202769190218176,0.0
1800000,6885.1886926792995,1200.0,1.685984621861195,0.010189900617366137,0.057283342932231876,1.0235237722390973,0.43094808085180086,0.0
1850000,6664.966209902928,1200.0,1.6801179025355144,0.00672649115541223,0.05645887787187207,1.303416248417077,0.5731322467355546,0.0
1900000,5819.7562555554405,1200.0,1.3925819901781533,-0.006305996034899471,0.055662584599526596,1.7057633439031672,0.6011033748087101,0.0
1950000,7040.030650882324,1200.0,1.6776302995779548,0.01027935533995765,0.05747060605372021,1.1759680620462885,0.7870059117001162,0.0
2000000,6266.126907181778,1200.0,2.320582499606815,0.00872757920562708,0.07980566956454371,1.823894794927274,0.7138608944430694,0.0
